publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,publisher,book_id
1925,Mrs Dalloway,"Virginia Woolf, Maureen Howard",en-US,Intermediate,3.78,136327,genre fiction,"Amazon Digital Services,  Inc.",171
2009,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",en-GB,Intermediate,3.81,92275,genre fiction,Macmillan,172
1998,Bag of Bones,Stephen King,en-US,Intermediate,3.87,131004,genre fiction,"Amazon Digital Services,  Inc.",173
1985,The Cider House Rules,John Irving,eng,Intermediate,4.1,124876,genre fiction,"Amazon Digital Services,  Inc.",174
1984,Thinner,"Richard Bachman, Stephen King",en-GB,Intermediate,3.66,130219,genre fiction,"Amazon Digital Services,  Inc.",175
1872,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",eng,Intermediate,3.9,117108,genre fiction,Penguin Group (USA) LLC,176
1994,Walk Two Moons,Sharon Creech,eng,Intermediate,3.95,129350,nonfiction,"Amazon Digital Services,  Inc.",177
2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,102206,genre fiction,"Amazon Digital Services,  Inc.",178
1953,Nine Stories,J.D. Salinger,eng,Intermediate,4.19,105138,genre fiction,"Amazon Digital Services,  Inc.",179
2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,eng,Intermediate,3.67,121373,nonfiction,Random House LLC,180
2007,Unwind,Neal Shusterman,eng,Intermediate,4.18,143892,genre fiction,Macmillan,181
1996,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,eng,Intermediate,4.34,123736,nonfiction,"Amazon Digital Services,  Inc.",182
2013,Prodigy,Marie Lu,eng,Intermediate,4.29,149702,genre fiction,"Amazon Digital Services,  Inc.",183
1603,The Tragedie of King Lear,William Shakespeare,eng,Intermediate,3.89,135448,genre fiction,"Amazon Digital Services,  Inc.",184
1949,Death of a Salesman,Arthur Miller,eng,Novice,3.49,132061,genre fiction,Penguin Group (USA) LLC,185
2007,The Choice,Nicholas Sparks,en-US,Intermediate,3.99,93479,genre fiction,"Amazon Digital Services,  Inc.",186
2012,,Kate Egan,en-US,Famous,4.51,119915,genre fiction,HarperCollins Publishers,187
1929,The Sound and the Fury,William Faulkner,eng,Intermediate,3.86,124665,genre fiction,Hachette Book Group,188
2005,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,eng,Intermediate,4.02,106211,genre fiction,"Amazon Digital Services,  Inc.",189
2002,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,eng,Intermediate,4.21,120004,fiction,Penguin Group (USA) LLC,190
2013,,Allie Brosh,eng,Intermediate,4.17,118910,genre fiction,Penguin Group (USA) LLC,191
1992,The Shadow Rising ,Robert Jordan,en-US,Intermediate,4.21,122524,nonfiction,HarperCollins Publishing,192
2003,Shantaram,Gregory David Roberts,eng,Intermediate,4.26,95213,genre fiction,"Amazon Digital Services,  Inc.",193
2008,From Dead to Worse,Charlaine Harris,eng,Intermediate,4.01,151095,genre fiction,"Amazon Digital Services,  Inc.",194
1991,The Waste Lands,"Stephen King, Ned Dameron",eng,Intermediate,4.24,117483,genre fiction,"Amazon Digital Services,  Inc.",195
1997,The Bone Collector,Jeffery Deaver,en-US,Intermediate,4.18,120541,genre fiction,Random House LLC,196
1995,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",eng,Intermediate,3.73,119911,genre fiction,"Amazon Digital Services,  Inc.",197
1967,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",eng,Intermediate,4.19,125668,genre fiction,Hachette Book Group,198
1989,Hyperion,Dan Simmons,eng,Intermediate,4.21,122225,genre fiction,"Amazon Digital Services,  Inc.",199
1947,The Pearl of the World,John Steinbeck,eng,Novice,3.41,133264,genre fiction,"Amazon Digital Services,  Inc.",200
1971,The Exorcist,William Peter Blatty,en-US,Intermediate,4.14,124467,genre fiction,"Amazon Digital Services,  Inc.",201
2009,The Short Second Life of Bree Tanner,Stephenie Meyer,eng,Intermediate,3.51,145874,genre fiction,"Amazon Digital Services,  Inc.",202
1994,Snow Falling on Cedars,David Guterson,eng,Intermediate,3.8,131945,genre fiction,"Amazon Digital Services,  Inc.",203
1976,Roots,Alex Haley,en-US,Famous,4.42,118951,genre fiction,Macmillan,204
1988,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",eng,Intermediate,4.36,113855,genre fiction,Random House LLC,205
1952,Invisible Man,Ralph Ellison,eng,Intermediate,3.84,123073,genre fiction,"Amazon Digital Services,  Inc.",206
2007,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,en-US,Intermediate,4.14,116260,genre fiction,"Amazon Digital Services,  Inc.",207
1971,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,,Intermediate,4.13,135978,genre fiction,"Amazon Digital Services,  Inc.",208
1982,Different Seasons,Stephen King,eng,Intermediate,4.34,105961,genre fiction,Simon and Schuster Digital Sales Inc,209
